Bot,Symbol,Quantity,Side,Current Price,Market Value,Avg Entry Price,Cost Basis,Today P/L %,Today P/L $,Total P/L %,Total P/L $
DEE-BOT,MSFT,17,LONG,$511.60,"$8,697.20",$500.62,"$8,510.58",-0.36%,$-31.11,+2.19%,$+186.62
DEE-BOT,VZ,209,LONG,$40.39,"$8,441.51",$40.42,"$8,447.78",-0.07%,$-6.27,-0.07%,$-6.27
DEE-BOT,AAPL,34,LONG,$247.30,"$8,408.20",$226.91,"$7,715.08",-0.82%,$-69.36,+8.98%,$+693.12
DEE-BOT,ABBV,37,LONG,$226.87,"$8,394.19",$227.08,"$8,401.92",-0.09%,$-7.73,-0.09%,$-7.73
DEE-BOT,LMT,17,LONG,$493.21,"$8,384.57",$499.80,"$8,496.60",-1.24%,$-105.40,-1.32%,$-112.03
DEE-BOT,MRK,100,LONG,$83.80,"$8,380.00",$85.07,"$8,507.00",-0.37%,$-31.00,-1.49%,$-127.00
DEE-BOT,JPM,28,LONG,$298.90,"$8,369.20",$299.23,"$8,378.44",-2.22%,$-190.12,-0.11%,$-9.24
DEE-BOT,COST,9,LONG,$926.10,"$8,334.90",$913.50,"$8,221.50",-3.03%,$-260.01,+1.38%,$+113.40
DEE-BOT,PG,54,LONG,$149.57,"$8,076.78",$148.10,"$7,997.46",+0.99%,$+79.32,+0.99%,$+79.32
DEE-BOT,UNH,22,LONG,$356.66,"$7,846.52",$358.35,"$7,883.80",-1.24%,$-98.78,-0.47%,$-37.28
DEE-BOT,KO,114,LONG,$67.58,"$7,704.12",$67.30,"$7,671.66",+0.42%,$+32.46,+0.42%,$+32.46
DEE-BOT,WMT,45,LONG,$106.07,"$4,773.11",$101.79,"$4,580.67",-2.72%,$-133.24,+4.20%,$+192.44
DEE-BOT,TOTAL,12,,,"$95,810.30",,"$94,812.48",-0.81%,$-821.23,+1.56%,"$+1,560.63"
,,,,,,,,,,,
SHORGAN-BOT,UNH,42,LONG,$356.66,"$14,979.72",$341.42,"$14,339.60",-1.24%,$-188.58,+4.46%,$+640.12
SHORGAN-BOT,CVX,-93,SHORT,$151.44,"$-14,083.61",$157.27,"$-14,625.65",+0.44%,$+62.62,+3.71%,$+542.04
SHORGAN-BOT,IONQ,-200,SHORT,$66.02,"$-13,204.00",$74.58,"$-14,915.85",+8.82%,"$+1,278.00",+11.48%,"$+1,711.85"
SHORGAN-BOT,SPY,18,LONG,$659.18,"$11,865.24",$649.10,"$11,683.83",-0.90%,$-107.82,+1.55%,$+181.41
SHORGAN-BOT,MFIC,770,LONG,$11.53,"$8,878.10",$12.16,"$9,363.20",-2.29%,$-207.90,-5.18%,$-485.10
SHORGAN-BOT,NCNO,-348,SHORT,$23.95,"$-8,334.60",$29.72,"$-10,342.56",+1.44%,$+121.80,+19.41%,"$+2,007.96"
SHORGAN-BOT,SNDX,420,LONG,$15.35,"$6,447.00",$15.46,"$6,491.15",+2.06%,$+130.20,-0.68%,$-44.15
SHORGAN-BOT,INCY,61,LONG,$87.06,"$5,310.66",$83.97,"$5,122.17",-1.24%,$-66.49,+3.68%,$+188.49
SHORGAN-BOT,RIG,1250,LONG,$3.26,"$4,074.50",$3.30,"$4,125.00",-1.52%,$-63.00,-1.22%,$-50.50
SHORGAN-BOT,GKOS,44,LONG,$85.33,"$3,754.52",$84.77,"$3,729.88",-0.32%,$-11.88,+0.66%,$+24.64
SHORGAN-BOT,FUBO,1000,LONG,$3.68,"$3,680.00",$4.07,"$4,070.00",-4.91%,$-190.00,-9.58%,$-390.00
SHORGAN-BOT,ARQT,150,LONG,$21.47,"$3,220.50",$19.98,"$2,997.61",-0.74%,$-24.00,+7.44%,$+222.89
SHORGAN-BOT,WOLF,96,LONG,$32.21,"$3,092.16",$25.98,"$2,493.68",-0.68%,$-21.12,+24.00%,$+598.48
SHORGAN-BOT,ORCL,10,LONG,$305.01,"$3,050.10",$239.04,"$2,390.40",+0.46%,$+13.90,+27.60%,$+659.70
SHORGAN-BOT,HIMS,37,LONG,$57.80,"$2,138.60",$55.97,"$2,070.89",-7.90%,$-183.52,+3.27%,$+67.71
SHORGAN-BOT,ARWR,47,LONG,$39.06,"$1,835.82",$36.65,"$1,722.55",+2.28%,$+40.89,+6.58%,$+113.27
SHORGAN-BOT,RXRX,294,LONG,$6.24,"$1,834.56",$4.93,"$1,449.42",-8.10%,$-161.70,+26.57%,$+385.14
SHORGAN-BOT,RGTI,27,LONG,$46.60,"$1,258.20",$15.35,$414.47,-17.29%,$-262.98,+203.57%,$+843.73
SHORGAN-BOT,BTBT,285,LONG,$3.70,"$1,054.41",$2.66,$758.10,-8.87%,$-102.69,+39.09%,$+296.31
SHORGAN-BOT,SAVA,100,LONG,$4.55,$455.00,$2.17,$217.00,-1.94%,$-9.00,+109.68%,$+238.00
SHORGAN-BOT,ARQT251017C00020000,1,LONG,$0.90,$90.00,$1.75,$175.00,-41.94%,$-65.00,-48.57%,$-85.00
SHORGAN-BOT,GKOS251017C00085000,1,LONG,$0.05,$5.00,$2.95,$295.00,-96.89%,$-156.00,-98.31%,$-290.00
SHORGAN-BOT,TOTAL,22,,,"$41,401.88",,"$34,024.89",-0.16%,$-174.27,+6.15%,"$+6,146.52"
,,,,,,,,,,,
COMBINED,PORTFOLIO,34,,,"$207,707.15",,"$200,000.00",-0.48%,$-995.50,+3.85%,"$+7,707.15"
