symbol,quantity,avg_price,current_price,pnl,pnl_pct,side,date_acquired
AAPL,84,226.91,245.5,1561.2,8.19%,long,2025-09-16
CVX,31,157.87,156.21,-51.46,-1.05%,long,2025-09-16
GOOGL,24,237.86,254.72,404.59,7.09%,long,2025-09-16
HD,12,416.53,415.69,-10.08,-0.20%,long,2025-09-16
JNJ,30,175.38,176.19,24.3,0.46%,long,2025-09-16
JPM,64,299.23,314.78,995.2,5.20%,long,2025-09-16
MSFT,34,500.62,517.93,588.47,3.46%,long,2025-09-16
NVDA,60,175.99,176.67,40.8,0.39%,long,2025-09-16
PG,33,157.82,156.04,-58.74,-1.13%,long,2025-09-16
WMT,35,103.84,102.33,-52.85,-1.45%,long,2025-09-16
XOM,44,112.23,112.82,25.96,0.53%,long,2025-09-16
